datetime,AQI,dew_point_2m,南京_AQI,南通_AQI,PM10_lag_48h,wind_speed_10m_lag_3h,AQI_rolling_std_6h,AQI_rolling_std_12h,PM2.5_rolling_std_6h,PM2.5_rolling_std_24h,AQI_change_1h,AQI_pct_change_3h,AQI_change_6h,AQI_pct_change_6h,AQI_change_24h,AQI_pct_change_24h,PM2.5_change_3h,PM2.5_change_6h,temperature_2m_change_24h,wind_u,wind_v
2025-07-21 23:00:00,19.0,23.5,15.0,14.0,28.0,20.7,4.996665554813754,4.089898865164514,0.8164965809270514,1.2394482175839223,-7.0,-34.48275862068966,-13.0,-40.625,-13.0,-40.625,-1.0,-2.0,0.0999999999999978,13.600054325496991,-11.013106843372151
2025-07-22 00:00:00,18.0,23.8,12.0,12.0,27.0,19.6,5.7619441163547656,5.172040216394432,0.5477225575041718,1.2618998788976226,-1.0,-28.000000000000004,-13.0,-41.93548387096774,-9.0,-33.333333333333336,-1.0,1.0,0.0,13.376606858593096,-12.044350914459448
2025-07-22 01:00:00,20.0,23.9,11.0,11.0,23.0,17.5,4.445971959725082,5.597618541249021,0.5477225575041718,1.2618998788976226,2.0,-23.076923076923073,-13.0,-39.39393939393939,-2.0,-9.090909090909092,1.0,0.0,-0.1000000000000014,12.830062863787129,-11.15300349283862
2025-07-22 02:00:00,23.0,24.0,15.0,11.0,21.0,17.5,3.311595788537839,5.517877281796986,0.5477225575041718,1.2394482175839223,3.0,21.052631578947366,-6.0,-20.68965517241379,5.0,27.777777777777768,1.0,0.0,-0.3000000000000007,13.4446251332056,-10.887242765162185
2025-07-22 03:00:00,23.0,24.1,12.0,12.0,18.0,18.0,3.0166206257988164,5.322906474223931,0.5477225575041718,1.2150922908883477,0.0,27.777777777777768,-2.0,-7.9999999999999964,7.0,43.75,1.0,0.0,-0.3999999999999986,14.400502499874063,-10.46257749080602
2025-07-22 04:00:00,17.0,24.2,13.0,12.0,19.0,17.0,2.5298221281336466,5.613835722138063,0.5477225575041718,1.2150922908883477,-6.0,-15.000000000000002,-9.0,-34.61538461538461,-2.0,-10.526315789473683,-1.0,0.0,-0.3000000000000007,14.00749995734176,-9.80815706160289
2025-07-22 05:00:00,17.0,24.2,11.0,11.0,26.0,17.3,2.804757862394057,5.501377238033543,0.8164965809270514,1.2958965337174744,0.0,-26.086956521739136,-2.0,-10.526315789473683,-17.0,-50.0,-2.0,-1.0,-0.3000000000000007,13.834190603811605,-10.051127814201289
2025-07-22 06:00:00,21.0,24.2,13.0,12.0,26.0,17.8,2.714160398108657,4.981024599478327,0.8366600265334246,1.282547284214469,4.0,-8.695652173913048,3.0,16.666666666666675,-3.0,-12.5,0.0,1.0,-0.3999999999999986,12.78246851112417,-9.287006986221074
2025-07-22 07:00:00,23.0,24.0,14.0,17.0,28.0,17.1,2.9439202887750553,3.7688918072223494,0.8366600265334246,1.1220775245180572,2.0,35.29411764705883,3.0,14.999999999999991,-2.0,-7.9999999999999964,1.0,0.0,-0.5,14.966814395936527,-10.874027167410752
2025-07-22 08:00:00,19.0,23.9,14.0,19.0,25.0,17.1,2.756809750417075,3.0587678248051153,0.8366600265334246,1.0347232354244091,-4.0,11.764705882352944,-4.0,-17.391304347826086,-5.0,-20.833333333333336,2.0,0.0,-0.6000000000000014,14.921202459973845,-12.082951508156876
2025-07-22 09:00:00,22.0,24.0,17.0,21.0,24.0,15.8,2.562550812503296,2.8069178610693837,1.3291601358247258,1.1220775245180572,3.0,4.761904761904767,-1.0,-4.347826086956519,-2.0,-8.333333333333337,2.0,2.0,-0.2000000000000028,13.367167857224974,-14.334532551735744
2025-07-22 10:00:00,23.0,23.8,16.0,18.0,27.0,18.5,2.401388487242624,2.391588796114301,1.3291601358247356,1.1220775245180572,1.0,0.0,6.0,35.29411764705883,-1.0,-4.1666666666666625,1.0,2.0,0.2000000000000028,13.615304060996346,-14.099060086637566
2025-07-22 11:00:00,25.0,24.0,16.0,21.0,28.0,19.2,2.0412414523180655,2.6784776318358223,0.8164965809271149,1.059805834014513,2.0,31.578947368421066,8.0,47.058823529411775,0.0,0.0,1.0,3.0,-5.100000000000001,13.88388472290997,-22.21886011929836
2025-07-22 12:00:00,28.0,25.6,17.0,18.0,31.0,19.6,3.0110906108354984,3.19445542378474,0.7527726527084266,1.059805834014513,3.0,27.27272727272727,7.0,33.33333333333333,1.0,3.703703703703698,-1.0,1.0,-7.899999999999999,12.328457348797732,-8.0061938147209
2025-07-22 13:00:00,28.0,25.2,20.0,19.0,32.0,19.6,3.544949458971424,3.604500553811365,1.3784048752086555,1.0320936930911424,0.0,21.739130434782616,5.0,21.739130434782616,-3.0,-9.677419354838712,-3.0,-2.0,-7.600000000000001,13.198509038720946,-13.667456206434377
2025-07-22 14:00:00,29.0,24.7,22.0,21.0,29.0,26.2,2.9268868558012255,4.077841080619744,1.722401424368208,1.090140264881382,1.0,15.999999999999991,10.0,52.63157894736843,-3.0,-9.375,-3.0,-2.0,-5.799999999999997,12.333909745021538,-14.188540108188114
2025-07-22 15:00:00,33.0,24.6,24.0,22.0,28.0,14.7,3.4448028487363667,5.011350752405819,1.4719601443876145,1.0826363421248824,4.0,17.85714285714286,11.0,50.0,1.0,3.125,-1.0,-2.0,-4.599999999999998,11.482253115420978,-10.707374252981223
2025-07-22 17:00:00,29.0,24.5,27.0,17.0,24.0,18.8,2.0736441353314796,4.251203038285656,2.880972058177366,1.5348391529118548,,0.0,4.0,15.999999999999991,-3.0,-9.375,7.0,4.0,-3.799999999999997,13.670330257510413,-8.877616270744944
2025-07-22 18:00:00,30.0,24.8,27.0,17.0,25.0,15.7,1.923538406165756,4.173509532537766,3.316624790355217,1.6963108075308155,1.0,-9.090909090909092,2.0,7.14285714285714,-1.0,-3.2258064516129004,4.0,3.0,-3.3000000000000007,11.113187248834686,-8.999281592012673
2025-07-22 20:00:00,25.0,24.8,21.0,14.0,34.0,16.3,3.304037933598749,3.392802840000126,2.3804761428473413,2.015631554323799,,-13.793103448275868,-4.0,-13.793103448275868,-4.0,-13.793103448275868,0.0,7.0,-2.3000000000000007,7.6758906391889345,-8.830102088606433
2025-07-22 21:00:00,26.0,24.6,20.0,15.0,36.0,14.3,2.3804761428460397,2.9135697844552526,0.8164965809270358,2.337812645483605,1.0,-13.33333333333333,-7.0,-21.212121212121215,1.0,4.0000000000000036,2.0,6.0,-2.1000000000000014,9.03932442880394,-7.5848937943011645
2025-07-22 22:00:00,32.0,24.8,21.0,12.0,37.0,11.9,2.880972058176632,2.7182510717169723,1.1401754250987834,2.663282484658455,6.0,6.666666666666665,,-3.0303030303030276,6.0,23.076923076923084,,,-1.6000000000000014,10.302398079610075,-7.763413798661424
2025-07-22 23:00:00,30.0,24.5,23.0,11.0,32.0,11.7,2.9664793948373425,2.449489742783483,1.3038404810402129,2.693587061044449,-2.0,19.999999999999996,1.0,3.4482758620689724,11.0,57.89473684210527,-1.0,-1.0,-1.2999999999999972,10.954435536601386,-9.191862818517514
2025-07-23 00:00:00,30.0,24.1,21.0,11.0,27.0,11.8,2.9664793948373425,2.4404006956967157,1.5811388300839222,2.667748698228124,0.0,15.384615384615374,0.0,0.0,12.0,66.66666666666667,-3.0,-1.0,-1.0,9.80536887192292,-8.227681403987704
2025-07-23 02:00:00,31.0,24.0,21.0,10.0,18.0,14.3,2.2803508501971126,2.6034165586358524,1.816590212458252,2.7080128015481573,,3.3333333333333437,6.0,24.0,8.0,34.78260869565217,-1.0,-2.0,-0.8999999999999986,9.728578588166918,-6.317812806174315
2025-07-23 04:00:00,24.0,24.0,20.0,10.0,19.0,11.1,3.2015621187152887,2.833333333333646,1.2583057392112331,2.6808286228849543,,-19.999999999999996,-8.0,-25.0,7.0,41.176470588235304,,-6.0,-1.2999999999999972,9.68599049793387,-5.819930246483613
