datetime,AQI_target,AQI_lag_6h,AQI_yesterday_same_hour,AQI_rolling_mean_24h,AQI_trend_24h,PM2.5_current,PM10_current,wind_speed,is_low_wind,pressure,pressure_change_24h,temperature,temp_daily_range,humidity,is_high_humidity,dew_point,hour_sin,hour_cos,is_rush_hour,is_weekend,is_heating_season,month_sin,month_cos
2025-01-01 00:00:00,71.0,,,,,,,,0,,,,,,0,,0.0,1.0,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 01:00:00,72.0,,,,,,,,0,,,,,,0,,0.25881904510252074,0.9659258262890683,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 02:00:00,75.0,,,,,,,,0,,,,,,0,,0.49999999999999994,0.8660254037844387,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 03:00:00,78.0,,,,,,,,0,,,,,,0,,0.7071067811865475,0.7071067811865476,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 04:00:00,95.0,,,,,,,,0,,,,,,0,,0.8660254037844386,0.5000000000000001,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 05:00:00,103.0,,,,,,,,0,,,,,,0,,0.9659258262890683,0.25881904510252074,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 06:00:00,113.0,71.0,,71.0,,44.0,92.0,5.4,0,1023.0,,0.5,12.1,61.0,0,-6.1,1.0,6.123233995736766e-17,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 07:00:00,120.0,72.0,,71.5,,46.0,94.0,4.9,0,1022.6,,0.1,12.1,68.0,0,-5.2,0.9659258262890683,-0.25881904510252063,1,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 08:00:00,120.0,75.0,,72.66666666666667,,49.0,100.0,5.1,0,1022.6,,-0.3,12.1,71.0,0,-4.9,0.8660254037844387,-0.49999999999999983,1,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 09:00:00,126.0,78.0,,74.0,,52.0,106.0,6.5,0,1022.4,,-0.7,12.1,74.0,0,-4.8,0.7071067811865476,-0.7071067811865475,1,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 10:00:00,124.0,95.0,,78.2,,71.0,121.0,6.8,0,1022.1,,-0.8,12.1,74.0,0,-4.8,0.49999999999999994,-0.8660254037844387,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 11:00:00,109.0,103.0,,82.33333333333333,,77.0,133.0,7.1,0,1022.1,,-0.7,12.1,74.0,0,-4.8,0.258819045102521,-0.9659258262890682,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 12:00:00,98.0,113.0,,86.71428571428571,,85.0,139.0,7.3,0,1022.4,,-0.6,12.1,76.0,0,-4.4,1.2246467991473532e-16,-1.0,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 13:00:00,85.0,120.0,,90.875,,91.0,145.0,7.0,0,1022.7,,-0.9,12.1,80.0,0,-3.8,-0.2588190451025208,-0.9659258262890683,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 14:00:00,75.0,120.0,,94.11111111111111,,91.0,147.0,8.7,0,1023.1,,0.9,12.1,75.0,0,-3.1,-0.4999999999999998,-0.8660254037844388,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 15:00:00,76.0,126.0,,97.3,,96.0,151.0,7.7,0,1023.5,,3.0,12.1,70.0,0,-2.0,-0.7071067811865471,-0.7071067811865479,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 16:00:00,75.0,124.0,,99.72727272727273,,94.0,153.0,7.6,0,1023.7,,5.5,12.1,61.0,0,-1.4,-0.8660254037844384,-0.5000000000000004,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 17:00:00,76.0,109.0,,100.5,,82.0,139.0,8.9,0,1023.2,,7.8,12.1,53.0,0,-1.2,-0.9659258262890683,-0.25881904510252063,1,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 18:00:00,77.0,98.0,,100.3076923076923,,73.0,126.0,10.9,0,1022.2,,9.5,12.1,42.0,0,-2.8,-1.0,-1.8369701987210297e-16,1,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 19:00:00,83.0,85.0,,99.21428571428571,,63.0,109.0,9.9,0,1021.2,,10.6,12.1,37.0,0,-3.5,-0.9659258262890684,0.2588190451025203,1,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 20:00:00,91.0,75.0,,97.6,,55.0,98.0,8.1,0,1020.1,,11.1,12.1,36.0,0,-3.5,-0.8660254037844386,0.5000000000000001,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 21:00:00,99.0,76.0,,96.25,,56.0,95.0,7.7,0,1019.5,,11.2,12.1,35.0,0,-3.6,-0.7071067811865477,0.7071067811865474,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 22:00:00,99.0,75.0,,95.0,,55.0,99.0,8.1,0,1019.6,,10.4,12.1,39.0,0,-3.0,-0.5000000000000004,0.8660254037844384,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-01 23:00:00,99.0,76.0,,93.94444444444444,,56.0,102.0,6.2,0,1019.8,,7.4,12.1,51.0,0,-2.0,-0.25881904510252157,0.9659258262890681,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-02 00:00:00,106.0,77.0,,93.05263157894737,,53.0,104.0,7.1,0,1020.7,,6.1,12.1,60.0,0,-1.1,0.0,1.0,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-02 01:00:00,110.0,83.0,,92.55,,61.0,111.0,7.0,0,1021.4,,5.1,12.1,67.0,0,-0.6,0.25881904510252074,0.9659258262890683,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-02 02:00:00,108.0,91.0,,92.47619047619048,,68.0,120.0,7.1,0,1021.8,,4.2,12.1,73.0,0,-0.2,0.49999999999999994,0.8660254037844387,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-02 03:00:00,103.0,99.0,,92.77272727272727,,74.0,126.0,7.6,0,1021.7,,4.7,12.1,73.0,0,0.2,0.7071067811865475,0.7071067811865476,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-02 04:00:00,95.0,99.0,,93.04347826086956,,74.0,126.0,6.6,0,1022.2,,3.5,12.1,78.0,0,0.0,0.8660254037844386,0.5000000000000001,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-02 05:00:00,91.0,99.0,,93.29166666666667,,74.0,121.0,6.9,0,1022.5,,3.0,12.1,77.0,0,-0.6,0.9659258262890683,0.25881904510252074,0,0,1,0.49999999999999994,0.8660254037844387
2025-01-02 06:00:00,89.0,106.0,71.0,94.75,35.0,80.0,123.0,6.7,0,1022.7,-0.2999999999999545,2.2,12.0,79.0,0,-1.0,1.0,6.123233995736766e-17,0,0,1,0.49999999999999994,0.8660254037844387
